X,playername,timestamp,accel_load_accum,distance_total,leftMaxForce,leftTorque,rightMaxForce,rightTorque,torque_difference,max_force_difference
222,PLAYER_755,12/26/2023,639.375607,4947.658068,NA,NA,NA,NA,NA,NA
223,PLAYER_755,12/27/2023,1071.657944,8235.214167,NA,NA,NA,NA,NA,NA
224,PLAYER_755,12/28/2023,753.591861,5579.87546,NA,NA,NA,NA,NA,NA
225,PLAYER_755,12/29/2023,577.030092,4129.47197,NA,NA,NA,NA,NA,NA
226,PLAYER_755,12/30/2023,562.449553,3882.633934,NA,NA,NA,NA,NA,NA
227,PLAYER_755,12/31/2023,1210.568546,9256.827734,NA,NA,NA,NA,NA,NA
228,PLAYER_755,1/2/2024,1115.637717,8407.408703,NA,NA,NA,NA,NA,NA
229,PLAYER_755,1/3/2024,605.225143,4762.569609,NA,NA,NA,NA,NA,NA
230,PLAYER_755,1/4/2024,575.443457,3935.598142,NA,NA,NA,NA,NA,NA
231,PLAYER_755,1/5/2024,546.215161,3892.74208,NA,NA,NA,NA,NA,NA
232,PLAYER_755,1/6/2024,565.01393,4055.003732,NA,NA,NA,NA,NA,NA
233,PLAYER_755,1/8/2024,624.38838,4804.079287,NA,NA,NA,NA,NA,NA
234,PLAYER_755,1/9/2024,609.396177,4469.299807,NA,NA,NA,NA,NA,NA
235,PLAYER_755,1/16/2024,949.770769,7269.314099,NA,NA,NA,NA,NA,NA
236,PLAYER_755,1/17/2024,594.298342,4639.749639,NA,NA,NA,NA,NA,NA
237,PLAYER_755,1/18/2024,652.554103,4636.470539,NA,NA,NA,NA,NA,NA
238,PLAYER_755,1/20/2024,781.147169,5802.310177,NA,NA,NA,NA,NA,NA
239,PLAYER_755,1/21/2024,751.889163,5285.487945,NA,NA,NA,NA,NA,NA
240,PLAYER_755,1/23/2024,729.362072,5047.242009,NA,NA,NA,NA,NA,NA
241,PLAYER_755,1/24/2024,792.549029,5671.02802,NA,NA,NA,NA,NA,NA
242,PLAYER_755,1/25/2024,636.314536,4638.439039,NA,NA,NA,NA,NA,NA
243,PLAYER_755,1/27/2024,143.003757,635.099312,NA,NA,NA,NA,NA,NA
244,PLAYER_755,1/30/2024,900.045802,6500.463228,NA,NA,NA,NA,NA,NA
245,PLAYER_755,1/31/2024,679.722957,5226.068004,NA,NA,NA,NA,NA,NA
246,PLAYER_755,2/1/2024,589.693448,3856.95889,NA,NA,NA,NA,NA,NA
247,PLAYER_755,2/3/2024,594.223163,4330.52721,NA,NA,NA,NA,NA,NA
248,PLAYER_755,2/5/2024,618.973863,4841.852874,NA,NA,NA,NA,NA,NA
249,PLAYER_755,2/6/2024,809.154458,5569.284168,NA,NA,NA,NA,NA,NA
250,PLAYER_755,2/7/2024,738.101665,5650.906257,NA,NA,NA,NA,NA,NA
251,PLAYER_755,2/8/2024,631.177334,4046.854595,NA,NA,NA,NA,NA,NA
252,PLAYER_755,2/10/2024,597.742443,4359.311924,NA,NA,NA,NA,NA,NA
253,PLAYER_755,2/12/2024,670.290979,5067.680864,NA,NA,NA,NA,NA,NA
254,PLAYER_755,2/13/2024,594.182353,4570.940973,NA,NA,NA,NA,NA,NA
255,PLAYER_755,2/14/2024,848.180047,6592.939978,NA,NA,NA,NA,NA,NA
256,PLAYER_755,2/15/2024,574.008471,4245.173982,NA,NA,NA,NA,NA,NA
257,PLAYER_755,2/17/2024,576.304278,4045.193796,NA,NA,NA,NA,NA,NA
258,PLAYER_755,2/19/2024,545.630123,3817.38554,NA,NA,NA,NA,NA,NA
259,PLAYER_755,2/20/2024,943.514947,6715.357106,NA,NA,NA,NA,NA,NA
260,PLAYER_755,2/21/2024,784.452276,5945.024775,NA,NA,NA,NA,NA,NA
261,PLAYER_755,2/22/2024,646.370155,4492.526538,NA,NA,NA,NA,NA,NA
262,PLAYER_755,2/23/2024,486.414264,3628.370933,NA,NA,NA,NA,NA,NA
263,PLAYER_755,2/24/2024,498.54949,3731.745714,NA,NA,NA,NA,NA,NA
264,PLAYER_755,2/27/2024,893.452378,6960.104018,NA,NA,NA,NA,NA,NA
265,PLAYER_755,2/29/2024,4.324333,19.278316,NA,NA,NA,NA,NA,NA
266,PLAYER_755,3/2/2024,906.097237,6592.593198,NA,NA,NA,NA,NA,NA
267,PLAYER_755,3/4/2024,456.210451,3262.278472,NA,NA,NA,NA,NA,NA
268,PLAYER_755,3/5/2024,714.166613,5003.177329,NA,NA,NA,NA,NA,NA
269,PLAYER_755,4/8/2024,NA,NA,386.25,210.313125,310.25,168.931125,41.382,76
270,PLAYER_755,6/24/2024,502.164746,3655.71517,NA,NA,NA,NA,NA,NA
271,PLAYER_755,6/24/2024,NA,NA,400.25,214.333875,313.5,167.87925,46.454625,86.75
272,PLAYER_755,6/25/2024,417.058783,2885.200854,NA,NA,NA,NA,NA,NA
273,PLAYER_755,6/26/2024,308.589301,2198.498164,NA,NA,NA,NA,NA,NA
274,PLAYER_755,6/28/2024,470.081466,3591.503964,NA,NA,NA,NA,NA,NA
275,PLAYER_755,7/1/2024,323.519286,2114.000147,NA,NA,NA,NA,NA,NA
276,PLAYER_755,7/3/2024,NA,NA,400.5,214.46775,303.5,162.52425,51.9435,97
277,PLAYER_755,7/3/2024,NA,NA,396.75,212.459625,306,163.863,48.596625,90.75
278,PLAYER_755,7/8/2024,407.71686,2960.903622,NA,NA,NA,NA,NA,NA
279,PLAYER_755,7/9/2024,402.941718,3013.949441,NA,NA,NA,NA,NA,NA
280,PLAYER_755,7/10/2024,508.739554,3686.364926,NA,NA,NA,NA,NA,NA
281,PLAYER_755,7/12/2024,566.686335,4831.113537,NA,NA,NA,NA,NA,NA
282,PLAYER_755,7/17/2024,319.795306,2163.822013,NA,NA,NA,NA,NA,NA
283,PLAYER_755,7/19/2024,338.447132,2375.176142,NA,NA,NA,NA,NA,NA
284,PLAYER_755,7/22/2024,374.396314,2929.190028,NA,NA,NA,NA,NA,NA
285,PLAYER_755,7/24/2024,331.766687,2332.131347,NA,NA,NA,NA,NA,NA
286,PLAYER_755,7/25/2024,375.328869,2852.735534,NA,NA,NA,NA,NA,NA
287,PLAYER_755,7/26/2024,375.235709,2763.645673,NA,NA,NA,NA,NA,NA
288,PLAYER_755,8/2/2024,403.366345,3255.413726,NA,NA,NA,NA,NA,NA
289,PLAYER_755,8/5/2024,420.60636,3274.718015,NA,NA,NA,NA,NA,NA
290,PLAYER_755,8/6/2024,458.065776,3552.540131,NA,NA,NA,NA,NA,NA
291,PLAYER_755,8/7/2024,459.003677,3584.591911,NA,NA,NA,NA,NA,NA
292,PLAYER_755,8/8/2024,439.458835,3611.323329,NA,NA,NA,NA,NA,NA
293,PLAYER_755,8/12/2024,450.613476,3439.769765,NA,NA,NA,NA,NA,NA
294,PLAYER_755,8/13/2024,NA,NA,425,227.5875,346,185.283,42.3045,79
295,PLAYER_755,8/30/2024,159.478983,1302.514825,NA,NA,NA,NA,NA,NA
