,team,metric,playername,data_source,player_mean_value,team_avg_value,percent_difference_from_team_mean,timestamp
176,Tennis,leftMaxForce,PLAYER_822,vald,230.25,276.16,-16.624420625724227,2022-04-11 14:29:07
177,Tennis,leftMaxForce,PLAYER_309,vald,243.25,276.16,-11.917004634994214,2023-11-30 15:47:14
178,Tennis,leftMaxForce,PLAYER_775,vald,253.72,276.16,-8.125724217844736,2022-04-12 16:18:50
179,Tennis,leftTorque,PLAYER_082,vald,95.43,118.69,-19.59727019967983,2022-01-31 15:04:25
180,Tennis,leftTorque,PLAYER_1097,vald,98.21,118.69,-17.255034122504007,2023-08-31 14:18:59
181,Tennis,leftTorque,PLAYER_309,vald,101.8,118.69,-14.230347965287727,2023-08-31 14:17:54
182,Tennis,leftTorque,PLAYER_221,vald,105.2,118.69,-11.365742691043893,2022-01-31 15:03:15
183,Tennis,leftTorque,PLAYER_775,vald,106.18,118.69,-10.540062347291256,2022-01-31 15:07:57
184,Tennis,rightMaxForce,PLAYER_082,vald,205.88,276.39,-25.511053221896596,2022-04-12 16:20:20
185,Tennis,rightMaxForce,PLAYER_309,vald,239.42,276.39,-13.376026629038678,2023-08-31 14:17:54
186,Tennis,rightMaxForce,PLAYER_1097,vald,243.13,276.39,-12.033720467455405,2023-01-24 15:19:51
187,Tennis,rightMaxForce,PLAYER_822,vald,243.91,276.39,-11.751510546691266,2023-01-24 15:23:03
188,Tennis,rightMaxForce,PLAYER_720,vald,280.22,276.39,1.3857230724700753,2023-01-24 15:24:13
189,Tennis,rightTorque,PLAYER_082,vald,89.86,118.61,-24.23910294241632,2022-01-31 15:04:25
190,Tennis,rightTorque,PLAYER_309,vald,100.2,118.61,-15.521456875474241,2023-11-30 15:47:14
191,Tennis,rightTorque,PLAYER_1097,vald,103.86,118.61,-12.435713683500547,2022-01-31 15:05:45
192,Tennis,rightTorque,PLAYER_822,vald,113.05,118.61,-4.687631734255124,2022-01-31 15:00:18
193,Tennis,rightTorque,PLAYER_221,vald,114.26,118.61,-3.6674816625916824,2022-01-31 15:03:15
194,Track,leftMaxForce,PLAYER_281,vald,213.67,342.09,-37.539828700049696,2023-11-02 14:36:40
195,Track,leftMaxForce,PLAYER_317,vald,217.5,342.09,-36.420240287643594,2024-01-26 16:38:20
196,Track,leftMaxForce,PLAYER_1141,vald,217.63,342.09,-36.38223859218334,2022-02-21 16:48:35
197,Track,leftMaxForce,PLAYER_178,vald,236.36,342.09,-30.907071238562946,2022-04-04 17:41:01
198,Track,leftMaxForce,PLAYER_029,vald,259.61,342.09,-24.110614165862778,2022-09-06 14:32:46
199,Track,leftTorque,PLAYER_1141,vald,83.24,143.16,-41.85526683431126,2022-09-06 14:51:05
200,Track,leftTorque,PLAYER_178,vald,89.36,143.16,-37.58032970103381,2022-09-06 15:04:26
201,Track,leftTorque,PLAYER_317,vald,92.98,143.16,-35.051690416317406,2024-01-26 16:38:20
202,Track,leftTorque,PLAYER_281,vald,95.19,143.16,-33.50796311818944,2023-08-31 14:23:10
203,Track,leftTorque,PLAYER_561,vald,103.55,143.16,-27.668343112601285,2023-09-06 11:15:52
204,Track,rightMaxForce,PLAYER_561,vald,164.38,331.03,-50.342869226354104,2024-01-26 16:37:40
205,Track,rightMaxForce,PLAYER_317,vald,182.25,331.03,-44.944566957677544,2024-01-26 16:38:20
206,Track,rightMaxForce,PLAYER_281,vald,196.92,331.03,-40.51294444612271,2023-10-17 14:34:54
207,Track,rightMaxForce,PLAYER_1141,vald,221.25,331.03,-33.16315741775669,2022-11-11 15:33:30
208,Track,rightMaxForce,PLAYER_686,vald,222.92,331.03,-32.658671419508806,2021-12-03 18:03:41
209,Track,rightTorque,PLAYER_561,vald,61.39,138.31,-55.61419998553973,2024-01-26 16:37:40
210,Track,rightTorque,PLAYER_317,vald,77.91,138.31,-43.67001662931097,2024-01-26 16:38:20
211,Track,rightTorque,PLAYER_1141,vald,84.63,138.31,-38.81136577253995,2022-02-07 16:53:53
212,Track,rightTorque,PLAYER_686,vald,87.27,138.31,-36.90261007880848,2021-12-03 18:03:41
213,Track,rightTorque,PLAYER_281,vald,87.73,138.31,-36.570023859446174,2023-11-02 14:36:40
214,Volleyball,leftMaxForce,PLAYER_743,vald,244.48,324.37,-24.629281376206187,2023-01-27 20:40:38
215,Volleyball,leftMaxForce,PLAYER_406,vald,245.56,324.37,-24.296328267102382,2022-09-06 18:04:13
216,Volleyball,leftMaxForce,PLAYER_251,vald,263.5,324.37,-18.765607176989242,2025-07-11 12:16:42
217,Volleyball,leftMaxForce,PLAYER_647,vald,268.75,324.37,-17.147085118845766,2022-09-06 18:12:26
218,Volleyball,leftMaxForce,PLAYER_648,vald,293.35,324.37,-9.563153189259173,2024-07-08 11:43:22
219,Volleyball,leftTorque,PLAYER_406,vald,102.77,134.1,-23.36316181953766,2022-08-09 22:03:52
220,Volleyball,leftTorque,PLAYER_743,vald,105.15,134.1,-21.588366890380307,2022-08-09 22:02:16
221,Volleyball,leftTorque,PLAYER_648,vald,106.72,134.1,-20.41759880686055,2022-08-09 22:05:13
